docId,filename,0 2006 819 pontiac,1 day june july,2 1 april 2003,3 march lot la,4 fair 1 4,5 4 2000 2001,6 sept oct de,7 de la des,8 2 4 3,9 1 shawville pontiac
34,83471_2000-08-23-01.txt,0.0027710988703038538,0.004045008380746059,0.07306787595727565,3.2684711128685284E-4,0.5903814587892187,0.010293991381646288,6.752101017363143E-4,0.0011047376370251988,5.765699016361485E-4,0.3167572018691251
35,83471_2000-08-23.txt,0.0013643774367937157,0.0600974204361284,0.05077016661365561,0.005766643110857193,0.03749352302762356,0.3518141804931832,0.05019251696802902,0.13905119170715713,0.01086729891524128,0.29258268129133086
36,83471_2000-08-30.txt,3.320971023305509E-4,0.05277550895122622,0.08313341854534334,1.8506167864232465E-5,0.07689778160478264,0.3098459003949084,0.07524350141350772,0.09788207116182787,0.011085788855463768,0.29278542580274525
37,83471_2000-09-06.txt,0.0034935649013183093,0.030202830215039365,0.05536870106478941,2.4460578130632552E-5,0.07579311443246865,0.3373254454908611,0.059586667064278606,0.1502882578188593,0.009796617772437646,0.278120340661817
38,83471_2000-09-13-01.txt,5.831858000608442E-4,0.0039398135843477415,0.010766296162097276,2.757739587119376E-5,0.8463628628399039,0.00660736389939736,3.335067400933764E-4,7.784439560015362E-4,0.029765284193370795,0.10083566542885598
39,83471_2000-09-13.txt,0.0020034453586508503,0.039125479153538194,0.08159118259029949,0.00422427001360493,0.024702648175300282,0.2931749693325847,0.10203256089663806,0.14104751948642338,0.014433759578889474,0.29766416541407065
40,83471_2000-09-20.txt,0.0027379330307670466,0.013878608158193336,0.09115129491218162,2.2738399525154044E-5,0.036018150686928325,0.21928797146774315,0.13562689620930524,0.19584274906110785,0.00968934614999045,0.2957443119242578
41,83471_2000-09-27.txt,0.001069758369855685,0.01157207102678217,0.10314187709930818,0.0014375031045270725,0.017182138983025647,0.2416524900815565,0.11717739002963959,0.24519530227347666,0.015918429373917756,0.24565303965791072
42,83471_2000-10-04.txt,0.006286481336874556,0.011852536580123854,0.06444858739071788,0.0012356408528519942,0.028870843885112484,0.25520410273122085,0.1169675813531022,0.20246478080805858,0.028732251929418737,0.2839371931325189
43,83471_2000-10-11.txt,0.004349083010112597,8.89132925167163E-4,0.13411567737808316,0.0010651493507845844,0.009905192110805188,0.28181177293409987,0.10870543830246014,0.1290807256146664,0.06745727253652997,0.26262055583729094
44,83471_2000-10-18.txt,0.001817441073460142,9.623479085260401E-4,0.13845437314148468,4.1559560586710024E-4,0.02624959372102884,0.2547195731701525,0.07780699436771149,0.08939720632759304,0.11765947853954743,0.29251739614462874
45,83471_2000-10-25.txt,4.034074101048698E-5,0.002244019501278542,0.09231450091448996,0.0012891568715828641,0.009057983520952908,0.25351679308468666,0.0878322387699889,0.15211810069041679,0.14572738446768782,0.2558594814379051
46,83471_2000-11-01.txt,1.3373652018949667E-4,0.002804657408901122,0.10059397737886136,0.012802600064421354,0.005941065236448653,0.214743674883217,0.06515379328539446,0.22229185509397187,0.1469211493527282,0.22861349077586654
47,83471_2000-11-08.txt,0.0015667107094342774,0.008632950848140123,0.024697903571168408,1.710535018248566E-5,0.007760822142005794,0.24613494839311106,0.05196622152181229,0.17832690274738594,0.18617370041446715,0.29472273430229246
48,83471_2000-11-15.txt,0.002314606827324548,0.0024952194186382086,0.06241085304071014,0.004515513705293879,0.005497698474196784,0.26038359878358364,0.053288557100593874,0.13081552025502097,0.19738379193362393,0.2808946404610141
49,83471_2000-11-22.txt,5.097782729326752E-4,5.697572579971676E-4,0.04336408486373429,0.006476396724951689,0.008928111559583162,0.14425545761895534,0.01420599310705831,0.35475850585739926,0.20908639859904488,0.21784551613834324
50,83471_2000-11-29.txt,3.070663477162635E-4,7.080355120369714E-4,0.042476959327685936,0.0012212624046900613,0.0066486568950003735,0.22853779824210047,0.021059414390182923,0.1495752029172916,0.25629808072633375,0.29316752323696166
51,83471_2000-12-06.txt,3.9793534249618344E-5,0.003332990495517816,0.007501606207672333,0.0020618419005538125,0.0016918725544956665,0.24421749254592354,0.0128255982901882,0.18660012938285436,0.22243860479229968,0.31929007029624495
52,83471_2000-12-13.txt,9.96194976952087E-4,0.002637948526017823,0.004975430172162665,0.0017719028786254017,0.008866996865587064,0.1883152391274892,0.002420657855223274,0.19470912565384646,0.26432736473901225,0.33097913920508376
53,83471_2000-12-20.txt,0.0019898555208039295,0.001578133521071503,0.002831033219038191,0.009654990654150354,0.01957126919000121,0.1749343396956989,0.0063285167810137564,0.2582303548211505,0.20638978180703316,0.31849172479003857
54,83471_2000-12-27.txt,0.021154039358762564,0.05659095109428781,0.06733606482753939,0.220957594556303,0.05928806243263879,0.028897481063619772,0.027192016078780853,0.13356028453065386,0.03776902167588683,0.3472544843815271
55,83471_2001-01-03.txt,0.002036505145478334,0.002307899436844041,0.04359842249226766,0.0012894467764361054,0.01132420092627985,0.2969327779954998,0.008358597405063692,0.034309041911316646,0.2965952370722135,0.30324787083860044
56,83471_2001-01-10.txt,0.0030032080334506726,0.00219290262353576,0.015513324717277592,0.00936461231676966,3.7471083232035646E-4,0.22803043877336013,0.00555682903720963,0.20043641135293355,0.2099989568105275,0.32552860550261514
57,83471_2001-01-17.txt,7.080745100853923E-4,0.004003808438141764,0.018727911646529184,0.006181888649318843,0.005411927255619345,0.16479936210032925,0.00138979926896674,0.2510784076988025,0.308695610449399,0.239003209982808
58,83471_2001-01-24.txt,0.0011548055794151464,0.007876973982275243,0.04474918849295765,0.008248269620113255,0.00930637767454216,0.18984008576694744,3.7771668641963814E-4,0.11282235218681888,0.3508524214563121,0.2747718085541984
59,83471_2001-01-31.txt,0.0015195689303795317,3.6158380411812393E-4,0.0332778441160372,0.017594946843192502,0.009443660214045383,0.16524378379564628,8.225296202821491E-4,0.2139119328843116,0.312940272539408,0.24488387725257926
60,83471_2001-02-07.txt,0.009913188603684078,0.001708853640314808,0.013003086550307798,0.011027754439664786,0.012520788959114735,0.2479442778674024,0.0013859928339981825,0.16602543361494285,0.2676402255380305,0.2688303979525398
61,83471_2001-02-14-01.txt,0.00837159961527547,0.1048079059425833,0.003974454931106961,4.78802361486582E-5,0.679440027604936,0.041367992492465165,0.005485081963725095,0.019749206563447447,0.02009622348958623,0.11665962716072571
62,83471_2001-02-14.txt,0.006634565470790298,0.001561321822702715,0.02530187000415041,0.009089632105616694,0.023321101904514804,0.1527805893680147,9.372248796426197E-4,0.24937675452210803,0.2660109036003584,0.2649860363221013
